O + 6         8         7       5963164.(  )
    1 1S2               (1)0( 0.0)               0.0000
    2 1S1 2S1           (3)0( 1.0)         4526946.7472
    3 1S1 2P1           (3)1( 0.0)         4587887.8205
    4 1S1 2P1           (3)1( 1.0)         4588243.3693
    5 1S1 2P1           (3)1( 2.0)         4588974.2197
    6 1S1 2S1           (1)0( 0.0)         4594943.4899
    7 1S1 2P1           (1)1( 1.0)         4636123.9481
    8 1S1 3S1           (3)0( 1.0)         5343184.1973
    9 1S1 3P1           (3)1( 0.0)         5359515.7412
   10 1S1 3P1           (3)1( 1.0)         5359614.5048
   11 1S1 3P1           (3)1( 2.0)         5359815.9825
   12 1S1 3S1           (1)0( 0.0)         5360831.2720
   13 1S1 3D1           (3)2( 1.0)         5368692.8522
   14 1S1 3D1           (3)2( 2.0)         5368728.4071
   15 1S1 3D1           (3)2( 3.0)         5368791.6157
   16 1S1 3D1           (1)2( 2.0)         5369320.9885
   17 1S1 3P1           (1)1( 1.0)         5372722.4058
   -1
 7.00    3       9.80+03 2.45+04 4.90+04 9.80+04 2.45+05 4.90+05 9.80+05 2.45+06 4.90+06 9.80+06 2.45+07 4.90+07 9.80+07
  11   8 1.02+07 3.12+01 3.12+01 3.10+01 3.09+01 3.23+01 3.51+01 3.92+01 4.59+01 5.16+01 5.73+01 6.46+01 6.99+01 7.51+01-7.29+00
  12   8 1.00-30 2.51-01 1.76-01 1.32-01 1.02-01 7.32-02 5.66-02 4.30-02 2.96-02 2.18-02 1.55-02 9.06-03 5.66-03 3.38-03 0.00+00
  13   8 2.05+00 7.84-01 7.95-01 7.92-01 7.80-01 7.56-01 7.35-01 7.13-01 6.86-01 6.69-01 6.54-01 6.38-01 6.29-01 6.22-01 6.11-01
  14   8 2.05+00 1.31+00 1.32+00 1.31+00 1.29+00 1.25+00 1.22+00 1.18+00 1.14+00 1.11+00 1.08+00 1.06+00 1.04+00 1.03+00 1.01+00
  15   8 2.09+00 1.86+00 1.87+00 1.86+00 1.83+00 1.77+00 1.72+00 1.66+00 1.60+00 1.56+00 1.53+00 1.49+00 1.47+00 1.45+00 1.42+00
  16   8 1.57-02 2.06-01 1.97-01 1.86-01 1.71-01 1.39-01 1.09-01 7.90-02 4.67-02 3.03-02 2.00-02 1.27-02 9.97-03 8.51-03 6.92-03
  17   8 7.42+03 9.28-02 9.10-02 8.80-02 8.24-02 7.00-02 5.71-02 4.29-02 2.66-02 1.77-02 1.20-02 8.09-03 6.81-03 6.32-03-5.69-04
  10   9 1.71-05 1.44+00 1.06+00 7.18-01 4.71-01 2.75-01 1.86-01 1.26-01 7.36-02 4.78-02 3.01-02 1.55-02 9.06-03 5.13-03 0.00+00
  11   9 2.90-10 8.33-01 8.18-01 7.90-01 7.63-01 7.35-01 7.18-01 7.02-01 6.84-01 6.71-01 6.58-01 6.44-01 6.35-01 6.29-01 6.19-01
  12   9 1.00-30 8.00-02 4.56-02 2.92-02 1.93-02 1.19-02 8.29-03 5.59-03 3.06-03 1.81-03 1.02-03 4.45-04 2.31-04 1.18-04 0.00+00
  13   9 7.32+05 9.54+00 9.67+00 9.64+00 9.63+00 1.00+01 1.09+01 1.20+01 1.39+01 1.55+01 1.70+01 1.89+01 2.03+01 2.17+01-1.87+00
  14   9 1.00-30 8.74-02 8.59-02 8.23-02 7.55-02 6.11-02 4.74-02 3.39-02 1.92-02 1.17-02 6.76-03 3.13-03 1.70-03 9.08-04 0.00+00
  15   9 4.28-11 1.14-01 1.14-01 1.12-01 1.09-01 1.04-01 1.01-01 9.85-02 9.90-02 1.01-01 1.05-01 1.09-01 1.11-01 1.12-01 1.15-01
  16   9 2.11-07 6.89-02 6.61-02 6.28-02 5.74-02 4.63-02 3.59-02 2.54-02 1.41-02 8.28-03 4.62-03 2.01-03 1.04-03 5.31-04 0.00+00
  17   9 5.41-03 5.68-02 5.56-02 5.35-02 4.98-02 4.15-02 3.34-02 2.51-02 1.59-02 1.08-02 7.12-03 3.84-03 2.30-03 1.33-03 0.00+00
  11  10 1.11-04 3.00+00 2.71+00 2.40+00 2.16+00 1.94+00 1.82+00 1.72+00 1.62+00 1.57+00 1.52+00 1.47+00 1.44+00 1.42+00 1.39+00
